emp_no,first_name,last_name,title,from_date,to_date
98201,Nirmal,Hedayat,Engineer,1999-07-27,9999-01-01
98209,Mari,Dechter,Staff,1994-05-24,9999-01-01
98210,Ramzi,Rijsenbrij,Engineer,1997-02-06,9999-01-01
98212,Sham,Slutz,Senior Engineer,1998-08-12,9999-01-01
98216,Krassimir,Kalsbeek,Senior Engineer,2002-03-23,9999-01-01
98220,Weicheng,Luca,Staff,1997-09-20,1998-07-27
98222,Hirochika,Ruemmler,Engineer,1999-01-23,9999-01-01
98233,Hausi,Trogemann,Senior Staff,1985-02-19,9999-01-01
98236,Shen,Talmor,Senior Engineer,1985-02-25,1990-04-25
98240,Martien,Stifter,Senior Staff,1993-06-05,9999-01-01
98241,Felicidad,Kroha,Senior Engineer,1992-01-25,9999-01-01
98245,Panayotis,Schonegge,Staff,1997-10-16,9999-01-01
98247,Shakhar,Skafidas,Senior Engineer,1999-11-04,9999-01-01
98252,Deniz,Shimshoni,Senior Engineer,1998-02-15,9999-01-01
98262,Berna,Yoshizawa,Senior Engineer,2001-08-30,9999-01-01
98264,Khalid,Randi,Staff,1996-08-25,9999-01-01
98265,Youssef,Usery,Senior Staff,1998-03-28,9999-01-01
98269,Vasilii,Ghazalie,Senior Engineer,1994-08-29,9999-01-01
98270,Kinh,Kawashimo,Senior Staff,2001-03-21,9999-01-01
98273,Arun,Mikschl,Engineer,1996-11-02,9999-01-01
98279,Ute,Birsak,Engineer,1999-02-16,9999-01-01
98282,Tremaine,Capobianchi,Senior Staff,1995-04-02,9999-01-01
98285,Georg,Piancastelli,Technique Leader,1999-11-20,9999-01-01
98289,Nakhoon,Benner,Senior Staff,1995-07-19,9999-01-01
98293,Jayesh,Adachi,Senior Staff,1999-11-20,9999-01-01
98297,Xiaoshan,Serot,Senior Engineer,1995-06-12,9999-01-01
98303,Aria,Qiwen,Engineer,1996-07-01,9999-01-01
98305,Yongmao,Stranks,Technique Leader,1997-10-19,9999-01-01
98311,Menkae,Kambil,Senior Engineer,1989-02-03,9999-01-01
98315,Baruch,Winter,Engineer,1999-02-13,9999-01-01
98317,Domenico,Vieri,Staff,1998-09-02,9999-01-01
98319,Rosli,Penttonen,Assistant Engineer,1997-04-07,9999-01-01
98323,Amalendu,Ponthieu,Senior Engineer,1993-04-24,9999-01-01
98329,Ebru,Chinen,Technique Leader,1996-07-07,1999-12-13
98331,Wonhee,VanScheik,Staff,1997-09-13,9999-01-01
98336,Piyawadee,Ouhyoung,Senior Staff,1996-06-03,9999-01-01
98338,Guenter,Taneja,Senior Engineer,1992-04-04,9999-01-01
98350,Qiwen,Butterworth,Senior Staff,1999-03-20,9999-01-01
98358,Basim,Aingworth,Senior Engineer,1992-12-26,9999-01-01
98359,Pranay,Benveniste,Senior Staff,2000-04-29,9999-01-01
98360,Leah,Brobst,Senior Staff,1998-05-23,9999-01-01
98368,Sedat,Magliocco,Senior Engineer,1994-01-29,9999-01-01
98374,Karlis,Kossowski,Staff,1993-11-22,9999-01-01
98376,Khatoun,Lagarias,Senior Engineer,1989-06-15,1994-10-22
98377,Steve,Flanders,Senior Staff,1988-02-03,9999-01-01
98380,Greger,Stassinopoulos,Senior Engineer,2001-02-01,9999-01-01
98385,Ronnie,Marakhovsky,Staff,1997-11-25,9999-01-01
98388,Vasiliy,Zuberek,Technique Leader,1993-06-01,9999-01-01
98394,Berthier,Anick,Senior Engineer,2000-01-06,9999-01-01
98399,Satosi,Wendorf,Senior Engineer,1993-10-24,9999-01-01
98405,Perry,Terekhov,Engineer,1998-05-20,9999-01-01
98407,Mahmut,Gonthier,Senior Staff,1994-01-14,9999-01-01
98412,Yucai,Serra,Senior Staff,1999-10-26,9999-01-01
98421,Kish,Pettey,Senior Staff,1991-02-28,9999-01-01
98423,Zhiwei,Birta,Senior Staff,1997-04-12,9999-01-01
98430,Fay,Langford,Senior Engineer,1994-05-16,9999-01-01
98436,Akeel,Khalid,Senior Engineer,1991-05-15,9999-01-01
98444,Arra,Lubachevsky,Senior Staff,1985-11-06,9999-01-01
98453,Huan,Baby,Senior Engineer,1994-04-07,9999-01-01
98457,Bezalel,Standera,Senior Staff,1985-08-28,9999-01-01
98458,Oguz,Pollock,Senior Engineer,1995-10-25,9999-01-01
98462,Ramalingam,Narwekar,Senior Engineer,1996-06-03,9999-01-01
98463,Murthy,Gruenwald,Engineer,1998-09-25,9999-01-01
98464,Maja,Heusch,Engineer,1998-03-15,9999-01-01
98470,Siamak,Ramaiah,Staff,1996-06-22,9999-01-01
98472,Tadanori,Suermann,Engineer,1998-10-19,9999-01-01
98476,Constantine,Bade,Senior Staff,1990-05-27,1991-03-22
98478,Baruch,Heystek,Senior Engineer,1985-03-22,9999-01-01
98485,Chiradeep,Homond,Senior Staff,1994-11-01,9999-01-01
98490,Maha,Benzmuller,Engineer,2001-09-14,9999-01-01
98495,Duke,Showalter,Senior Staff,1994-04-23,9999-01-01
98497,Jianhao,Cannata,Senior Engineer,1995-11-28,9999-01-01
98504,Mokhtar,Kolinko,Senior Engineer,2000-11-12,9999-01-01
98518,Gad,Rahimi,Senior Engineer,2001-01-21,9999-01-01
98522,Janalee,Kugler,Senior Staff,2000-12-04,9999-01-01
98524,Anneli,Rosenbaum,Engineer,1997-05-05,9999-01-01
98525,Berna,Lalonde,Staff,1997-12-18,2001-07-17
98528,Uli,Nivat,Senior Engineer,1999-05-14,9999-01-01
98534,Xiaopeng,Mapelli,Senior Engineer,1996-11-06,9999-01-01
98536,Francesca,Figueira,Senior Engineer,1988-05-25,9999-01-01
98541,Chuanti,Shanbhogue,Senior Staff,1998-07-15,9999-01-01
98543,Kristin,Selenyi,Senior Engineer,1992-08-19,9999-01-01
98548,Pasqua,Speer,Engineer,2002-01-17,9999-01-01
98549,Prodip,Landherr,Senior Staff,1998-06-06,9999-01-01
98558,Valery,Llado,Senior Engineer,1993-09-16,9999-01-01
98570,Seongbae,Botman,Senior Engineer,1988-08-13,9999-01-01
98571,Stevo,Curless,Senior Staff,1999-06-17,9999-01-01
98578,Manu,Binding,Engineer,1997-08-04,9999-01-01
98582,Kirk,Spelt,Senior Engineer,1992-04-22,2000-07-20
98586,Kauko,Steenbeek,Senior Engineer,1997-07-08,9999-01-01
98589,Yishay,Merlo,Senior Engineer,1999-04-20,9999-01-01
98595,Syozo,Kaminger,Staff,1995-12-20,9999-01-01
98600,Djenana,Angel,Senior Engineer,1990-03-08,9999-01-01
98604,Tremaine,Reeken,Engineer,1985-02-04,1988-05-09
98605,Gor,Carrere,Senior Engineer,1995-07-26,9999-01-01
98615,Yuguang,Crouzet,Senior Engineer,1993-07-20,1996-08-22
98618,Bojan,Merle,Staff,1997-02-18,9999-01-01
98625,Kien,Selvestrel,Assistant Engineer,1996-03-10,1996-05-05
98628,Radhika,Bahl,Senior Engineer,1997-06-06,9999-01-01
98633,Zhensheng,Riesenhuber,Engineer,1996-03-07,9999-01-01
98636,Kannan,Mahnke,Senior Engineer,2001-08-13,9999-01-01
98646,Mohd,Farrag,Engineer,1998-10-07,9999-01-01
98660,Radoslaw,Rabehasaina,Senior Staff,1998-08-15,9999-01-01
98672,Tsuneo,Oxenboll,Senior Engineer,1996-01-16,9999-01-01
98675,Shigehiro,Suri,Senior Staff,1993-03-07,9999-01-01
98676,Mechthild,Cannard,Senior Engineer,1996-05-08,9999-01-01
98680,Serge,Tchuente,Technique Leader,1994-06-10,9999-01-01
98682,Naraig,Parhami,Senior Staff,1998-10-28,9999-01-01
98686,Wayne,Wilharm,Senior Engineer,2001-04-23,9999-01-01
98687,Yakichi,Comte,Senior Engineer,2001-09-14,9999-01-01
98696,Uinam,Litzler,Senior Engineer,1998-07-12,9999-01-01
98697,JiYoung,Harbusch,Staff,1998-05-31,9999-01-01
98699,Karsten,Koyama,Senior Staff,1993-03-16,9999-01-01
98705,Jianhua,Papsdorf,Senior Engineer,1994-08-02,2000-09-28
98709,Sushant,Esposito,Senior Engineer,1998-10-25,9999-01-01
98714,Duri,Covnot,Senior Engineer,1997-05-06,9999-01-01
98717,Chenyi,Oaver,Staff,1998-03-02,9999-01-01
98724,Jinpo,Birdsall,Senior Engineer,1995-10-24,9999-01-01
98725,Gill,Kaminger,Engineer,1995-12-16,9999-01-01
98732,Nikolaus,Baca,Senior Staff,1997-02-14,9999-01-01
98735,Richard,Bahl,Technique Leader,1998-08-10,2000-06-20
98736,Make,Kleiser,Assistant Engineer,1997-03-26,9999-01-01
98738,Mihalis,Kulisch,Senior Engineer,2001-06-07,9999-01-01
98741,Arco,Perelgut,Technique Leader,1989-06-12,9999-01-01
98753,Franziska,Murillo,Senior Staff,2000-09-11,9999-01-01
98766,Gretta,Buchter,Senior Engineer,2002-04-16,9999-01-01
98768,Valery,Iacovou,Senior Engineer,1994-01-29,9999-01-01
98773,Ziyad,Peron,Senior Staff,1999-06-30,9999-01-01
98782,Lene,Minakawa,Technique Leader,1999-09-01,9999-01-01
98795,Pasqua,Hertweck,Senior Staff,1991-09-28,9999-01-01
98796,Shao,Horswill,Senior Engineer,1995-06-16,9999-01-01
98798,Baoqiu,Lichtner,Senior Staff,2001-10-19,9999-01-01
98805,Junichi,Demizu,Senior Engineer,1988-02-04,1990-05-29
98807,Aloys,Hanratty,Staff,1998-03-28,9999-01-01
98813,Surveyors,Peck,Senior Engineer,1993-11-13,9999-01-01
98820,Djenana,Erva,Technique Leader,1994-09-09,9999-01-01
98825,Aemilian,Kroft,Senior Engineer,1996-10-14,9999-01-01
98830,Mountaz,Lunn,Assistant Engineer,1989-03-12,1989-12-03
98834,Radhika,Syrzycki,Senior Staff,1998-11-10,9999-01-01
98836,Leon,Walstra,Assistant Engineer,1989-05-31,1992-07-31
98838,Kazuhito,Deville,Senior Engineer,1994-03-05,9999-01-01
98840,Uwe,Ushiama,Senior Staff,1997-06-21,9999-01-01
98843,Kwangyoen,Chartres,Staff,1997-02-08,9999-01-01
98845,Jessie,Anido,Senior Staff,1987-03-13,9999-01-01
98848,Vatsa,DuBourdieux,Staff,1994-04-21,1998-04-04
98852,Arno,Rissland,Engineer,1997-08-12,9999-01-01
98854,Kotesh,Garrabrants,Assistant Engineer,1995-07-03,9999-01-01
98866,Bilhanan,McAffer,Senior Engineer,1998-08-03,9999-01-01
98869,Lucian,Swen,Staff,1998-07-22,9999-01-01
98875,Idoia,Uhrik,Senior Staff,1991-12-31,9999-01-01
98876,Mihalis,Thummel,Senior Engineer,1999-01-26,9999-01-01
98880,True,Sifakis,Senior Engineer,1991-01-18,9999-01-01
98882,Yishay,Vanwelkenhuysen,Senior Engineer,1996-11-17,9999-01-01
98884,Tsuneo,Baar,Staff,1993-07-02,1993-10-09
98889,Xiaoqiang,Pezzoli,Staff,1996-07-26,9999-01-01
98893,Theron,Ramalingam,Senior Engineer,1993-07-30,9999-01-01
98898,Arto,Anger,Senior Staff,1990-11-14,9999-01-01
98900,Lenore,Pargas,Engineer,1995-03-22,2000-06-16
98904,Gio,Wallrath,Senior Staff,2002-06-17,9999-01-01
98913,Toshimori,Fabrizio,Senior Staff,1992-03-20,9999-01-01
98918,Perry,Kopetz,Staff,1999-09-22,9999-01-01
98919,Jackson,Pulkowski,Senior Staff,1999-07-23,9999-01-01
98920,Janalee,Hofmeyr,Assistant Engineer,1998-07-17,9999-01-01
98921,Toshiki,Marwedel,Assistant Engineer,1994-07-02,1997-05-26
98924,Noritoshi,Kaelbling,Senior Staff,1999-08-05,9999-01-01
98943,Cordelia,Negoita,Senior Staff,2001-06-02,9999-01-01
98944,Guiseppe,Erbe,Senior Staff,1996-04-21,1996-12-02
98950,Gilbert,Demos,Staff,1999-10-24,2000-09-24
98957,Khalil,Schmittgen,Senior Engineer,1998-03-17,9999-01-01
98961,Visit,Khasidashvili,Staff,1998-12-27,9999-01-01
98962,Brendon,Sluis,Senior Engineer,1992-10-02,9999-01-01
98965,Mori,Parhami,Senior Engineer,1995-05-03,9999-01-01
98977,Richara,Alameldin,Engineer,1995-02-20,9999-01-01
98978,Doohun,Sidje,Senior Staff,1994-06-06,2002-05-24
98979,Alejandro,Jayawardene,Engineer,1996-07-04,9999-01-01
98984,Rosalyn,Ushiama,Senior Staff,1997-06-09,9999-01-01
98987,Dipayan,Suermann,Senior Engineer,1992-09-13,9999-01-01
98991,Malu,Willoner,Senior Staff,1995-09-24,9999-01-01
98993,Ronghao,Apsitis,Senior Engineer,1992-07-15,9999-01-01
98995,Chenxi,Eppinger,Senior Staff,1993-08-18,1999-03-05
99000,Tsvetan,Deyuan,Senior Engineer,2001-11-16,9999-01-01
99001,Torsten,Gulak,Senior Engineer,1995-11-22,1999-09-15
99002,Shan,Bergere,Senior Staff,1986-09-20,9999-01-01
99007,Ugo,Ibel,Senior Staff,1994-05-29,9999-01-01
99010,Luise,Smailagic,Senior Staff,1998-05-17,9999-01-01
99013,Tsz,Cools,Senior Engineer,2002-02-09,9999-01-01
99014,Adly,Siprelle,Senior Staff,1991-12-11,9999-01-01
99022,Golgen,Wilfing,Senior Engineer,1993-05-08,9999-01-01
99023,Gill,Kusakabe,Senior Staff,1994-03-28,9999-01-01
99026,Zhongwei,Broomell,Staff,1987-02-24,1991-10-14
99029,Ohad,Eiter,Senior Engineer,1995-06-22,9999-01-01
99050,Stevo,Krichel,Senior Staff,1997-06-10,9999-01-01
99061,Arco,Gustavson,Senior Engineer,1992-06-27,1994-02-04
99085,Junsik,Honiden,Staff,1999-04-09,9999-01-01
99089,Brigham,Quaggetto,Senior Engineer,2000-09-28,9999-01-01
99097,Toshiki,Munawer,Senior Engineer,1994-04-19,9999-01-01
99104,Karsten,Kolinko,Senior Staff,1991-07-13,9999-01-01
99108,Shalesh,Streit,Technique Leader,1991-07-13,1992-10-31
99109,Dines,Pearson,Senior Engineer,2002-03-01,9999-01-01
99111,Ulf,Picci,Engineer,1996-03-10,9999-01-01
99116,Luigi,Pargaonkar,Senior Engineer,1993-07-06,1995-02-27
99122,Tooru,Schwabacher,Engineer,1999-04-27,2001-05-17
99126,Isamu,Chepyzhov,Senior Engineer,1993-07-04,1997-05-10
99128,Huiqun,Braunmuhl,Senior Engineer,1996-02-11,9999-01-01
99137,Yonghoan,Pollock,Senior Engineer,1995-12-21,9999-01-01
99153,Maik,Montresor,Senior Engineer,1993-06-06,9999-01-01
99160,Syozo,Cappelli,Staff,1991-10-13,1992-01-17
99161,Ramya,Heyers,Senior Engineer,2002-05-08,9999-01-01
99164,Shahid,Schaaf,Engineer,1994-06-13,9999-01-01
99168,Persi,Rissland,Staff,1999-07-01,2000-02-19
99174,Kaijung,Fortenbacher,Senior Engineer,1996-11-01,9999-01-01
99182,Jaques,Fontan,Engineer,1999-03-10,9999-01-01
99190,Djenana,Kambil,Senior Engineer,2000-07-28,9999-01-01
99192,Danai,Gerlach,Senior Engineer,1998-11-03,9999-01-01
99196,Achilleas,Ambroszkiewicz,Staff,1998-01-03,2000-12-16
99199,Shakhar,Simkin,Engineer,1997-02-18,9999-01-01
99204,Denis,Bugaenko,Senior Engineer,2001-01-09,9999-01-01
99206,Florian,Matheson,Senior Staff,1990-10-15,9999-01-01
99207,Shao,Ghalwash,Staff,1996-11-02,9999-01-01
99208,Mokhtar,Bernick,Senior Engineer,2000-05-17,9999-01-01
99220,Domenico,Zobel,Technique Leader,1993-07-17,9999-01-01
99221,Masamitsu,Fiebach,Senior Staff,1998-01-16,1998-02-13
99226,Mario,Pehl,Senior Engineer,2002-01-14,9999-01-01
99231,Nahla,Wielonsky,Senior Engineer,1988-10-12,9999-01-01
99239,Yurij,Meriste,Senior Staff,1995-03-27,9999-01-01
99240,Lijia,Heydon,Engineer,1996-05-15,9999-01-01
99243,Aloys,Stamatiou,Assistant Engineer,1994-03-03,2001-03-28
99253,Genki,Maccarone,Staff,1997-07-17,9999-01-01
99255,Rajmohan,Vingron,Senior Staff,1994-06-05,9999-01-01
99257,Lene,Homond,Staff,1995-11-01,9999-01-01
99260,Fan,Picco,Engineer,1997-12-06,9999-01-01
99261,Amalendu,Panienski,Engineer,1997-02-04,9999-01-01
99268,Eishiro,Otillio,Senior Engineer,2001-02-19,9999-01-01
99269,Leaf,Gien,Engineer,1997-05-13,9999-01-01
99271,Pranav,Siepmann,Senior Staff,1999-03-16,9999-01-01
99272,Yuriy,Birge,Staff,1999-02-16,9999-01-01
99276,Takanari,Aamodt,Senior Staff,1995-01-01,9999-01-01
99278,Masaru,Peek,Senior Staff,1993-04-15,9999-01-01
99283,Shir,Rosca,Senior Engineer,1999-05-02,9999-01-01
99290,Youssef,Basagni,Senior Engineer,2000-08-06,9999-01-01
99296,Jaewoo,Kushner,Staff,1986-11-07,1987-09-03
99299,Sachem,Claffy,Engineer,1995-06-10,9999-01-01
99301,Zengping,Heystek,Assistant Engineer,1998-06-08,9999-01-01
99313,Masasuke,Caine,Senior Staff,1991-04-02,9999-01-01
99317,Fay,Shihab,Staff,1999-08-06,9999-01-01
99318,Sanjay,Guardalben,Senior Engineer,1990-05-02,9999-01-01
99319,Dzung,Gadepally,Senior Staff,2002-04-21,9999-01-01
99331,Jongsuk,Zeidenstein,Staff,1998-09-22,9999-01-01
99336,Mechthild,Syrzycki,Senior Staff,1997-01-27,9999-01-01
99344,Siamak,Vuskovic,Engineer,1993-12-18,2000-12-09
99357,Arunachalam,Peac,Senior Engineer,1990-11-24,9999-01-01
99360,Bedrich,Raczkowsky,Staff,1999-05-01,9999-01-01
99362,Radhika,Eiter,Staff,1994-02-21,1996-09-05
99365,Poornachandra,Kopetz,Senior Engineer,1995-05-02,9999-01-01
99367,Uriel,Hutton,Senior Engineer,1998-01-07,2002-03-14
99369,Marke,Krohn,Senior Staff,1994-05-10,9999-01-01
99370,Xinglin,Kilgore,Staff,1994-07-16,9999-01-01
99371,Tokuyasu,Vuskovic,Senior Engineer,1991-11-17,9999-01-01
99375,Uta,Swist,Senior Staff,1999-08-19,9999-01-01
99383,Zita,Vasanthakumar,Engineer,1999-03-15,9999-01-01
99394,Ranan,Monarch,Senior Staff,1998-04-02,9999-01-01
99395,Dmitri,Sury,Senior Staff,2001-11-08,9999-01-01
99400,Hitomi,Decaestecker,Senior Staff,1994-09-20,9999-01-01
99404,Doowon,Zaccaria,Engineer,2001-05-10,9999-01-01
99408,Idoia,Roisin,Senior Engineer,1991-05-04,1994-04-11
99409,Jongsuk,Rettelbach,Senior Engineer,1997-03-28,9999-01-01
99420,Yongmin,Krogh,Senior Engineer,1996-11-09,1999-07-09
99422,Kotesh,Navazio,Senior Staff,1995-04-26,9999-01-01
99428,Billur,Shrader,Technique Leader,1998-09-05,9999-01-01
99433,Limsoon,Krupka,Staff,1996-09-04,9999-01-01
99438,Vidar,Prochazka,Senior Staff,1996-04-20,9999-01-01
99443,Zita,Woycyznski,Senior Staff,1995-11-11,9999-01-01
99446,Toong,Alpin,Senior Engineer,1990-12-11,9999-01-01
99451,Guenter,Riexinger,Senior Staff,1998-12-09,9999-01-01
99456,Lech,Verspoor,Engineer,1988-09-05,1996-02-02
99458,Herbert,Valiente,Senior Staff,2001-02-17,9999-01-01
99461,Stein,Caine,Senior Engineer,1992-04-11,9999-01-01
99462,Stevo,Gornas,Senior Engineer,1998-12-04,9999-01-01
99463,Vojin,Lenart,Senior Engineer,1996-08-26,1999-01-25
99466,Margo,Schusler,Senior Engineer,1991-07-27,9999-01-01
99473,Jaihie,Servi,Engineer,2001-03-06,9999-01-01
99476,Shahaf,Laventhal,Staff,1999-12-09,9999-01-01
99481,Arnd,Akaboshi,Senior Staff,2001-10-23,9999-01-01
99484,Goncalo,Knightly,Staff,1999-07-25,9999-01-01
99485,Kwangjo,Lagarias,Technique Leader,1993-01-22,1999-12-13
99487,Aran,Uehara,Senior Staff,1999-07-08,9999-01-01
99495,Tayeb,Alblas,Senior Staff,1997-01-14,2001-07-30
99501,Djenana,Scharstein,Senior Engineer,1999-06-27,9999-01-01
99506,Frazer,Maquelin,Engineer,1995-06-15,9999-01-01
99516,Genki,Matheson,Engineer,1999-01-09,9999-01-01
99519,Jackson,Nourani,Engineer,1993-05-01,1998-08-19
99522,Murthy,Prenel,Senior Staff,1994-06-02,9999-01-01
99525,Zissis,Ghelli,Senior Staff,1999-10-21,9999-01-01
99532,Percy,Picco,Staff,1986-04-13,1989-03-09
99543,Hidekazu,Pollock,Technique Leader,1996-10-21,9999-01-01
99544,Irene,Petersohn,Engineer,1999-02-22,9999-01-01
99545,Tayeb,Koshiba,Technique Leader,1997-07-10,9999-01-01
99546,Kazuhiro,Lorys,Staff,1998-11-09,9999-01-01
99550,Tsvetan,Hebert,Senior Staff,1988-04-27,1993-07-09
99557,Arlette,Fordan,Senior Staff,1986-02-20,9999-01-01
99560,Maris,Calkin,Senior Staff,1985-06-20,1998-06-29
99564,Vitali,Azevdeo,Senior Staff,1995-04-25,9999-01-01
99567,Christfried,Oberman,Assistant Engineer,1996-06-01,9999-01-01
99570,Xiaoheng,Rodham,Technique Leader,1985-11-21,1990-08-23
99571,Rajmohan,Slobodova,Senior Engineer,1998-07-03,9999-01-01
99581,Shichao,Sudkamp,Senior Engineer,1998-09-15,9999-01-01
99583,Holgard,Schmittgen,Senior Staff,1996-05-14,9999-01-01
99589,Abdelghani,Baik,Senior Engineer,1999-07-27,9999-01-01
99596,Sahrah,Erva,Senior Staff,1996-10-01,2000-12-26
99598,Pohua,Plavsic,Engineer,1999-11-22,9999-01-01
99600,Shounak,Ertl,Engineer,2001-02-13,2002-05-05
99605,Pasqua,Decaestecker,Staff,1996-01-31,1998-04-02
99607,Surveyors,Picht,Senior Staff,1997-11-06,9999-01-01
99608,Baruch,Paludetto,Engineer,1999-08-14,9999-01-01
99611,Breannda,Stasinski,Senior Staff,1994-08-28,9999-01-01
99616,Peternela,Bierman,Staff,1999-02-28,9999-01-01
99620,Kiyomitsu,Edelhoff,Senior Engineer,1997-07-04,9999-01-01
99623,Sivanarayana,Rosar,Engineer,1995-12-14,9999-01-01
99630,Sahrah,Gaughan,Engineer,1995-08-26,9999-01-01
99633,Gal,Eickenmeyer,Senior Engineer,1992-12-04,9999-01-01
99637,Moti,Maccarone,Senior Engineer,1987-01-04,9999-01-01
99642,Filipe,Barreiro,Senior Engineer,1996-01-16,9999-01-01
99643,Beshir,Babu,Senior Staff,1991-05-03,9999-01-01
99646,Manu,Farris,Technique Leader,1997-11-13,9999-01-01
99647,Toshiko,Katzenelson,Staff,1996-03-05,9999-01-01
99648,Kiyokazu,Pavlopoulou,Technique Leader,1997-10-13,9999-01-01
99649,Danny,Berstel,Senior Engineer,1993-11-25,9999-01-01
99652,Zvonko,Garnham,Engineer,1996-11-27,2001-06-20
99658,Sachem,Farrar,Senior Engineer,2002-06-19,9999-01-01
99660,Gudjon,Roisin,Senior Engineer,2000-05-24,9999-01-01
99679,Petter,Kalafatis,Senior Engineer,1997-02-05,9999-01-01
99681,Henk,Tramer,Senior Staff,1985-07-17,9999-01-01
99682,Mara,Maraist,Senior Engineer,1993-04-03,1993-08-28
99687,Barna,Yavatkar,Senior Engineer,1993-05-17,9999-01-01
99703,Manton,Berstel,Senior Engineer,1998-09-11,9999-01-01
99716,Luerbio,Casperson,Senior Staff,1993-12-17,9999-01-01
99719,Sreekrishna,Ramamoorthy,Senior Staff,2001-04-09,9999-01-01
99722,Kazuhide,Granlund,Senior Staff,2002-01-28,9999-01-01
99723,Pascal,Pagter,Senior Engineer,2000-02-23,9999-01-01
99727,Temple,Maierhofer,Staff,1998-04-13,2000-03-16
99729,Dmitri,Porenta,Senior Staff,1996-06-22,9999-01-01
99733,Mingdong,Narahara,Senior Engineer,1997-09-05,9999-01-01
99736,Mircea,Hardjono,Technique Leader,1995-05-02,9999-01-01
99740,Adly,Wiegley,Staff,1991-03-10,1994-03-10
99745,Girolamo,Highland,Senior Engineer,1994-12-12,9999-01-01
99748,Van,Negoita,Staff,1995-11-03,1996-11-17
99754,Sadegh,Lamparter,Senior Engineer,1996-01-28,9999-01-01
99763,Eben,Riexinger,Senior Staff,1998-03-06,9999-01-01
99767,Haldon,Lorho,Staff,1993-08-23,9999-01-01
99769,Xinyu,Winter,Senior Staff,2000-07-24,9999-01-01
99771,Gudjon,Lund,Senior Engineer,1999-05-23,9999-01-01
99775,Shigeaki,Denis,Senior Staff,1994-10-12,1999-12-10
99779,Rasiah,Taubenfeld,Senior Engineer,1987-05-06,9999-01-01
99781,Randi,Sury,Senior Staff,1992-12-03,9999-01-01
99782,Zejun,Percebois,Senior Staff,1995-08-06,9999-01-01
99786,Shaibal,Usery,Technique Leader,1995-08-06,9999-01-01
99788,Adly,Orsini,Senior Engineer,1993-10-10,9999-01-01
99790,Guadalupe,Lowrie,Senior Engineer,1993-09-29,9999-01-01
99792,Kensyu,Calkin,Staff,1999-01-03,2001-04-30
99796,Fun,Erie,Senior Staff,2001-11-01,9999-01-01
99798,Phillip,Boguraev,Staff,1997-10-04,9999-01-01
99803,Franziska,Oberman,Staff,1987-09-28,1992-09-27
99804,Abdelghani,Benner,Senior Engineer,2002-01-13,9999-01-01
99811,Vishu,Scallan,Engineer,1992-03-25,1997-01-23
99815,Khue,Nooteboom,Staff,1999-11-04,9999-01-01
99823,Yoshinari,Chiodo,Senior Engineer,1994-04-30,1998-01-05
99826,Hidefumi,Rehfuss,Senior Engineer,1994-05-02,9999-01-01
99836,Mani,Terekhov,Staff,1993-08-15,9999-01-01
99837,Dipayan,Anick,Senior Engineer,1985-11-28,9999-01-01
99840,Venkatesan,Neiman,Technique Leader,1996-01-13,9999-01-01
99846,True,Hofman,Senior Staff,1996-01-12,9999-01-01
99848,Susuma,Kroft,Technique Leader,1996-05-09,9999-01-01
99853,Gor,Morrey,Staff,1987-10-31,1990-07-12
99855,Roselyn,Krohn,Senior Staff,1996-10-18,9999-01-01
99860,Mitchel,Homond,Technique Leader,1988-11-09,9999-01-01
99861,IEEE,Waeselynck,Senior Engineer,1999-08-16,2000-04-17
99862,Tomokazu,Murillo,Technique Leader,1989-05-12,9999-01-01
99865,Wonhee,Farris,Senior Staff,1998-01-25,9999-01-01
99870,Koldo,Binkley,Technique Leader,1993-09-11,9999-01-01
99872,Barna,Nitsche,Senior Engineer,1997-03-20,9999-01-01
99874,Leif,Belinskaya,Senior Engineer,1995-12-03,9999-01-01
99876,Zhonghui,Angiulli,Senior Engineer,1985-10-21,1997-06-02
99878,Fen,Sidhu,Senior Staff,2000-02-14,9999-01-01
99882,Rafail,Falby,Senior Engineer,1995-01-11,9999-01-01
99883,Dulce,Linares,Senior Engineer,1986-12-11,9999-01-01
99889,Mohammad,Osgood,Engineer,1998-06-29,9999-01-01
99895,Olivera,Feldmann,Senior Engineer,2000-07-22,9999-01-01
99907,Shahar,Luks,Senior Engineer,1995-11-06,1997-08-06
99909,Stafford,Coorg,Staff,1999-09-22,9999-01-01
99915,Elgin,Perna,Senior Engineer,1993-02-26,9999-01-01
99919,Boalin,Jenevein,Senior Staff,1998-01-31,9999-01-01
99920,Cullen,Candan,Staff,1998-04-03,9999-01-01
99928,Basant,Sudkamp,Senior Engineer,1997-12-10,9999-01-01
99929,Makato,Domenig,Senior Staff,2001-01-17,9999-01-01
99934,Hidefumi,Baranowski,Technique Leader,1995-11-13,1999-02-04
99937,Yannik,Himler,Senior Engineer,1995-11-17,9999-01-01
99956,Leen,Streng,Senior Staff,2002-04-02,9999-01-01
99972,Jaana,Schaaf,Staff,1998-05-07,9999-01-01
99981,Rimon,Grandbois,Senior Engineer,2002-05-03,9999-01-01
99984,Taiji,Kaelbling,Senior Engineer,1997-07-11,9999-01-01
99988,Matt,Motley,Staff,1999-04-21,9999-01-01
99989,Divine,Docker,Engineer,1999-11-01,9999-01-01
100001,Jasminko,Antonakopoulos,Engineer,1999-07-17,9999-01-01
100008,Otmar,Selvestrel,Senior Engineer,1988-03-20,1998-04-13
